BO_sstmean,utm_x,utm_y
4.947999954223633,718910.8422429434,5519907.210272793
4.955999851226807,724907.4240264792,5520153.897506547
4.959000110626221,730903.9263978275,5520407.2620723
4.978000164031982,736900.3471973736,5520667.304778434
4.933000087738037,742896.6842621897,5520934.02645456
4.964000225067139,748892.9354259387,5521207.4279515045
4.90500020980835,629175.2240078927,5507743.461022271
5.052000045776367,635183.0326259675,5507890.141733652
5.093999862670898,641190.7946284742,5508043.4934458425
5.0970001220703125,647198.507928103,5508203.516651527
5.0960001945495605,653206.1704355171,5508370.211864788
5.0920000076293945,659213.7800592682,5508543.579621117
5.0269999504089355,665221.3347057127,5508723.620477396
4.995999813079834,671228.8322789267,5508910.335011909
4.968999862670898,677236.2706806113,5509103.723824328
4.947000026702881,683243.6478100151,5509303.787535716
4.952000141143799,689250.9615638438,5509510.526788531
4.949999809265137,695258.2098361733,5509723.942246605
4.978000164031982,701265.390518365,5509944.034595157
4.9679999351501465,707272.5014989781,5510170.804540787
4.952000141143799,713279.5406636801,5510404.2528114645
4.920000076293945,719286.5058951679,5510644.380156538
4.934000015258789,725293.3950730743,5510891.187346719
4.947999954223633,731300.2060738807,5511144.675174087
4.953000068664551,737306.9367708354,5511404.844452083
4.961999893188477,743313.5850338663,5511671.696015504
5.00600004196167,749320.1487294871,5511945.230720504
4.888000011444092,623377.9946801745,5498339.269469476
4.8429999351501465,629396.1271444827,5498479.346117952
5.061999797821045,635414.2157904012,5498626.096481961
5.079999923706055,641432.2585656353,5498779.521035706
5.070000171661377,647450.2534159549,5498939.620274924
5.061999797821045,653468.1982850996,5499106.39471689
5.070000171661377,659486.0911146932,5499279.844900409
5.050000190734863,665503.929844161,5499459.971385824
5.01800012588501,671521.7124106439,5499646.774754999
4.979000091552734,677539.436748904,5499840.255611333
4.952000141143799,683557.1007912463,5500040.414579741
4.965000152587891,689574.7024674285,5500247.252306663
4.991000175476074,695592.2397045748,5500460.76946006
4.982999801635742,701609.7104270892,5500680.9667294
4.995999813079834,707627.1125565693,5500907.844825672
5,713644.4440117157,5501141.404481368
4.973999977111816,719661.702708254,5501381.64645049
4.932000160217285,725678.8865588391,5501628.571508539
4.945000171661377,731695.9934729704,5501882.180452514
4.966000080108643,737713.0213569079,5502142.474100917
4.946000099182129,743729.9681135855,5502409.453293731
4.995999813079834,749746.8316425174,5502683.118892437
4.8979997634887695,623588.3554029102,5489075.210304208
5.010000228881836,629616.7543713793,5489215.352233356
5.040999889373779,635645.1102364273,5489362.171007573
5.002999782562256,641673.42097899,5489515.667103974
