BO_salinity,utm_x,utm_y
30.22100067138672,652681.1355556432,5526898.1930837305
30.197999954223633,658668.1404703603,5527071.391583465
30.172000885009766,664655.0886651773,5527251.256609949
30.148000717163086,670641.9779784873,5527437.788734292
30.131000518798828,676628.8062463156,5527630.988548724
30.1200008392334,682615.5713022448,5527830.856666605
30.111000061035156,688602.2709773227,5528037.393722411
30.101999282836914,694588.9030999778,5528250.60037174
30.072999954223633,700575.4654959317,5528470.477291301
30.013999938964844,706561.9559881156,5528697.025178917
29.934999465942383,712548.3723965783,5528930.244753517
29.847000122070313,718534.7125384088,5529170.13675514
29.76099967956543,724520.9742276428,5529416.701944918
29.679000854492188,730507.1552751757,5529669.941105089
29.601999282836914,736493.2534886812,5529929.855038978
29.535999298095703,742479.2666725247,5530196.444571005
29.481000900268555,748465.1926276694,5530469.710546677
29.701000213623047,628954.0454230866,5517007.696891487
29.7810001373291,634951.561226141,5517154.306708395
30.031999588012695,640949.0296720688,5517307.584280738
30.038000106811523,646946.4486406285,5517467.530098145
30.0310001373291,652943.8160095563,5517634.1446715165
30.010000228881836,658941.1296544791,5517807.428533017
29.986000061035156,664938.3874488334,5517987.382236078
29.961999893188477,670935.587263779,5518174.006355395
29.94300079345703,676932.726968105,5518367.301486919
29.929000854492188,682929.804428152,5518567.268247863
29.916000366210938,688926.8175077223,5518773.907276691
29.900999069213867,694923.7640679933,5518987.21923312
29.868000030517578,700920.6419674319,5519207.2047981145
29.805999755859375,706917.4490617083,5519433.864673883
29.722999572753906,712914.183203606,5519667.19958388
29.634000778198242,718910.8422429434,5519907.210272793
29.54800033569336,724907.4240264792,5520153.897506547
29.466999053955078,730903.9263978275,5520407.2620723
29.393999099731445,736900.3471973736,5520667.304778434
29.33300018310547,742896.6842621897,5520934.02645456
29.284000396728516,748892.9354259387,5521207.4279515045
29.461999893188477,629175.2240078927,5507743.461022271
29.7549991607666,635183.0326259675,5507890.141733652
29.788999557495117,641190.7946284742,5508043.4934458425
29.804000854492187,647198.507928103,5508203.516651527
29.80299949645996,653206.1704355171,5508370.211864788
29.78499984741211,659213.7800592682,5508543.579621117
29.760000228881836,665221.3347057127,5508723.620477396
29.732999801635742,671228.8322789267,5508910.335011909
29.711000442504883,677236.2706806113,5509103.723824328
29.694000244140625,683243.6478100151,5509303.787535716
29.67799949645996,689250.9615638438,5509510.526788531
29.659000396728516,695258.2098361733,5509723.942246605
29.62299919128418,701265.390518365,5509944.034595157
29.55900001525879,707272.5014989781,5510170.804540787
29.475000381469727,713279.5406636801,5510404.2528114645
29.38800048828125,719286.5058951679,5510644.380156538
29.305999755859375,725293.3950730743,5510891.187346719
29.229000091552734,731300.2060738807,5511144.675174087
29.16200065612793,737306.9367708354,5511404.844452083
29.108999252319336,743313.5850338663,5511671.696015504
29.06800079345703,749320.1487294871,5511945.230720504
29.090999603271484,623377.9946801745,5498339.269469476
29.40999984741211,629396.1271444827,5498479.346117952
29.475000381469727,635414.2157904012,5498626.096481961
29.517000198364258,641432.2585656353,5498779.521035706
29.53700065612793,647450.2534159549,5498939.620274924
29.538000106811523,653468.1982850996,5499106.39471689
29.523000717163086,659486.0911146932,5499279.844900409
29.493999481201172,665503.929844161,5499459.971385824
29.46299934387207,671521.7124106439,5499646.774754999
29.434999465942383,677539.436748904,5499840.255611333
29.415000915527344,683557.1007912463,5500040.414579741
29.39699935913086,689574.7024674285,5500247.252306663
29.375,695592.2397045748,5500460.76946006
29.33799934387207,701609.7104270892,5500680.9667294
29.273000717163086,707627.1125565693,5500907.844825672
29.190000534057617,713644.4440117157,5501141.404481368
29.108999252319336,719661.702708254,5501381.64645049
29.034000396728516,725678.8865588391,5501628.571508539
28.964000701904297,731695.9934729704,5501882.180452514
28.905000686645508,737713.0213569079,5502142.474100917
28.86199951171875,743729.9681135855,5502409.453293731
28.829999923706055,749746.8316425174,5502683.118892437
29.003999710083008,623588.3554029102,5489075.210304208
29.10099983215332,629616.7543713793,5489215.352233356
29.172000885009766,635645.1102364273,5489362.171007573
29.218000411987305,641673.42097899,5489515.667103974
29.239999771118164,647701.6845780647,5489675.841021354
29.240999221801758,653729.8990106152,5489842.693280175
29.222000122070313,659758.0622514857,5490016.224422565
29.190000534057617,665786.1722733183,5490196.435012315
29.152000427246094,671814.2270464671,5490383.325634883
29.114999771118164,677842.2245389028,5490576.896897383
29.090999603271484,683870.1627161357,5490777.149428586
29.070999145507812,689898.0395411241,5490984.083878921
29.047000885009766,695925.8529741883,5491197.7009204645
29.010000228881836,701953.6009729239,5491418.001246945
28.94499969482422,707981.2814921155,5491644.985573732
28.868000030517578,714008.8924836456,5491878.654637845
28.795000076293945,720036.4318964168,5492119.009197937
28.729000091552734,726063.8976762563,5492366.050034299
28.67099952697754,732091.2877658295,5492619.777948854
28.62299919128418,738118.6001045574,5492880.193765156
28.590999603271484,744145.8326285299,5493147.298328384
